name,description,link
Pastor Gus and Brenda (1:59) - Grant County,,https://www.youtube.com/embed/1SUDeGTaZcs
Pastor Gus and Brenda (1:07) - Grant County,,https://www.youtube.com/embed/9LdTRzMXtBM
Holly Muench (1:58) - Grant County,,https://www.youtube.com/embed/ghRIURZBvow
Pastor Zayna Thomley (1:04) - Grant County,,https://www.youtube.com/embed/S2MhUrth56k
Kari Edge (0:53) - Grant County,,https://www.youtube.com/embed/rOPkW_IL6DY
Kari Edge (0:53) - Grant County,,https://www.youtube.com/embed/YkQGzjJlKL0
Holly Muench (1:23) - Grant County,,https://www.youtube.com/embed/P_yIyTmYYNA
Holly Muench (1:28) - Grant County,,https://www.youtube.com/embed/-Ce9GP0hdm8
Dr. Erin Huebschman (1:05) - Grant County,,https://www.youtube.com/embed/fiDfIf15-vk
Kessa Klaas (1:06) - Grant County,,https://www.youtube.com/embed/vDJV1d-tTHs
Pastor Gus and Brenda (1:22) - Grant County,,https://www.youtube.com/embed/JH3xtWxVDd8
Kessa Klaas (1:09) - Grant County,,https://www.youtube.com/embed/b6C_2ZYAa0Q
Dr. Erin Huebschman (1:01) - Grant County,,https://www.youtube.com/embed/1HM_qhmoMKE
Dr. Christine Richards (0:56) - Richland County,,https://www.youtube.com/embed/sOdhjBNqaD0
Rachel Fruit (0:55) - Richland County,,https://www.youtube.com/embed/8DUtO47y3No
Pastor Michelle Elfers (1:58) - Richland County,,https://www.youtube.com/embed/c3MIEm_dHwU
Dale Bender (1:17) - Richland County,,https://www.youtube.com/embed/Di_K-Ewf4iI
Ron Fruit (1:41) - Richland County,,https://www.youtube.com/embed/T9y_4RV-lqo
Dale Bender (1:12) - Richland County,,https://www.youtube.com/embed/LtqpG7IfdSY
Bruce Roesler (1:00) - Richland County,,https://www.youtube.com/embed/WIi_XMtWAGQ
Bruce Roesler (0:58) - Richland County,,https://www.youtube.com/embed/bHWITyoRXXo
Dr. Bob Bernardoni (1:20) - Lafayette County,,https://www.youtube.com/embed/TOaXTxU4C2g
Kriss Marion (1:56) - Lafayette County,,https://www.youtube.com/embed/xfXSYd2hUNE
Dr. Chris Greenwaldt (1:13) - Lafayette County,,https://www.youtube.com/embed/b6Dsi0l5DAA
Self Caring and Noticing - C3 Radio Ad,,https://youtube.com/embed/jmAMHhxpPgI
Wish C3 Radio Ad,,https://www.youtube.com/embed/0eBJaQGldfM
Laugh C3 Radio Ad,,https://www.youtube.com/embed/kdC82iq3dcM
Don't Want C3 Radio Ad,,https://www.youtube.com/embed/FwwIWAmZ8VI
Civics C3 Radio Ad,,https://www.youtube.com/embed/dki0fKa_yQw
Advice C3 Radio Ad,,https://www.youtube.com/embed/PEy-kmba_rE
Project Recovery B C3 Radio Ad,,https://www.youtube.com/embed/dq6ijF-18HQ
Project Recovery A C3 Radio Ad,,https://www.youtube.com/embed/rsSjgtNNdvQ
Post Pandemic Reentry Anxiety C3 Radio Ad,,https://www.youtube.com/embed/0G99aAuTU8U
Keeping Traditions C3 Radio Ad,,https://www.youtube.com/embed/EJ-CcLCQ4qQ
Did You Lose C3 Radio Ad,,https://www.youtube.com/embed/3ny8qtFKjTs
Flu Bug C3 Radio Ad,,https://www.youtube.com/embed/m705zd2U7Cw
Best Interest C3 Radio Ad,,https://www.youtube.com/embed/-HrGR1meXacb
Best Time C3 Radio Ad,,https://www.youtube.com/embed/9tqE1FXhU2U
Resolutions C3 Radio Ad,,https://www.youtube.com/embed/NwvHx2furWA
Teachers C3 Radio Ad,,https://www.youtube.com/embed/PVXvRsgrqWM
Peace of Mind C3 Radio Ad,,https://www.youtube.com/embed/dP4PGTPCHLs
Stressful Workday C3 Radio Ad,,https://www.youtube.com/embed/zNelJfpGvys
,,https://www.youtube.com/embed/
,,https://www.youtube.com/embed/
,,https://www.youtube.com/embed/
,,https://www.youtube.com/embed/
,,https://www.youtube.com/embed/
,,https://www.youtube.com/embed/
,,https://www.youtube.com/embed/
,,https://www.youtube.com/embed/
,,https://www.youtube.com/embed/
,,https://www.youtube.com/embed/
,,https://www.youtube.com/embed/
,,https://www.youtube.com/embed/
,,https://www.youtube.com/embed/
,,https://www.youtube.com/embed/
,,https://www.youtube.com/embed/
,,https://www.youtube.com/embed/
,,https://www.youtube.com/embed/
,,https://www.youtube.com/embed/
,,https://www.youtube.com/embed/
